trial,condition,number,response,mask,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,33.45618960005231,None,space,36.79014789999928,33.45618960005231,None,,,,,,,,,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
12,no-go,3,None,,0,0,0,11,,,,,,,,,,,71.10404230002314,72.10580050002318,72.85531500005163,72.9043687999947,None,72.85531500005163,None,,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
6,go,6,space,,0,1,1,5,,,,,,,,,,,75.55159530008677,76.55142100004014,77.30336590006482,77.35359539999627,space,77.30336590006482,None,0.3083769999211654,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
7,go,7,space,,0,2,2,6,,,,,,,,,,,78.40036990004592,79.40012080001179,80.15310690004844,80.21676560002379,space,80.15310690004844,None,0.3076829999918118,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
16,go,7,space,,0,3,3,15,,,,,,,,,,,81.23943860002328,82.25077959999908,82.9838415000122,83.03278750006575,space,82.9838415000122,None,0.27592939999885857,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
5,go,5,space,,0,4,4,4,,,,,,,,,,,84.04783779999707,85.04825019999407,85.79752050002571,85.84887180000078,space,85.79752050002571,None,0.29254759999457747,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
14,go,5,space,,0,5,5,13,,,,,,,,,,,86.85503069998231,87.86314919998404,88.61296370008495,88.66515650006477,space,88.61296370008495,None,0.3111012000590563,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
13,go,4,space,,0,6,6,12,,,,,,,,,,,89.6969839000376,90.70057580003049,91.45554910006467,91.50930889998563,space,91.45554910006467,None,0.25770119996741414,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
27,go,9,space,,0,7,7,26,,,,,,,,,,,92.477760400041,93.47753810009453,94.23053230007645,94.27907210006379,space,94.23053230007645,None,0.3118458000244573,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
8,go,8,space,,0,8,8,7,,,,,,,,,,,95.32664620003197,96.32641500001773,97.0766971000703,97.12717160000466,space,97.0766971000703,None,0.2528606998967007,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
26,go,8,space,,0,9,9,25,,,,,,,,,,,98.10909949999768,99.10874170006718,99.86025220004376,99.9102934000548,space,99.86025220004376,None,0.3290952999377623,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
36,go,9,space,,0,10,10,35,,,,,,,,,,,100.95806710002944,101.95813550008461,102.70880400005262,102.75869080005214,space,102.70880400005262,None,0.26892429997678846,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
24,go,6,space,,0,11,11,23,,,,,,,,,,,103.75840490008704,104.7569057000801,105.50707699998748,105.559104999993,space,105.50707699998748,None,0.2845908000599593,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
31,go,4,space,,0,12,12,30,,,,,,,,,,,106.5575726000825,107.55656450008973,108.3054567000363,108.35720020008739,space,108.3054567000363,None,0.2821523000020534,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
34,go,7,space,,0,13,13,33,,,,,,,,,,,109.35516380006447,110.35644410003442,111.10785030003171,111.15920860006008,space,111.10785030003171,None,0.28624639997724444,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
2,go,2,space,,0,14,14,1,,,,,,,,,,,112.2046492000809,113.20381780003663,113.94412150001153,114.00791090005077,space,113.94412150001153,None,0.2598625000100583,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
10,go,1,space,,0,15,15,9,,,,,,,,,,,114.96940709999762,115.96893600001931,116.71871660009492,116.76973420009017,space,116.71871660009492,None,0.2730603999225423,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
3,no-go,3,None,,0,16,16,2,,,,,,,,,,,117.7723118000431,118.78461540001445,119.51757999998517,119.56848770007491,space,119.51757999998517,None,0.25030400010291487,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
32,go,5,space,,0,17,17,31,,,,,,,,,,,120.53621050005313,121.5337493000552,122.29209360003006,122.35424450004939,space,122.29209360003006,None,0.30946479993872344,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
22,go,4,space,,0,18,18,21,,,,,,,,,,,123.36598170001525,124.36618640006054,125.11597859999165,125.16653270006645,space,125.11597859999165,None,0.2692649000091478,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
1,go,1,space,,0,19,19,0,,,,,,,,,,,126.16452410002239,127.16426079999655,127.91517020005267,127.96409460005816,space,127.91517020005267,None,0.4483646999578923,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
17,go,8,space,,0,20,20,16,,,,,,,,,,,129.1310167000629,130.13444490008987,130.8794956000056,130.93137320003007,space,130.8794956000056,None,0.2624703999608755,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
21,no-go,3,None,,0,21,21,20,,,,,,,,,,,131.9121135000605,132.91182849998586,133.66142020002007,133.7130689000478,None,133.66142020002007,None,,,,,,,,,,,,3. participant,001,2021_Dec_01_1413,Experiment_Alli,2021.1.4,60.03067568522318,
