trial,condition,number,response,mask,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,197.12799110007472,None,space,29.087438000016846,197.12799110007472,None,,,,,,,,,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
10,go,1,space,,0,0,0,9,,,,,,,,,,,227.02945480006747,228.04531690001022,228.77859320002608,228.83254710002802,space,0.40124629996716976,228.77859320002608,None,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
1,go,1,space,,0,1,1,0,,,,,,,,,,,229.94547300005797,230.94403040001635,231.69490510004107,231.76148610003293,space,0.31941330002155155,231.69490510004107,None,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
30,no-go,3,None,,0,2,2,29,,,,,,,,,,,232.7935744000133,233.79311610001605,234.54528330010362,234.59569120011292,None,,234.54528330010362,None,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
18,go,9,space,,0,3,3,17,,,,,,,,,,,237.30807800008915,238.30817420000676,239.06035200005863,239.10941600007936,space,0.3645292000146583,239.06035200005863,236.56816530006472,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
7,go,7,space,,0,4,4,6,,,,,,,,,,,240.20743430010043,241.20704310003202,241.9591999000404,242.0083313001087,space,0.3097029000055045,241.9591999000404,None,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
2,go,2,space,,0,5,5,1,,,,,,,,,,,243.05686610005796,244.05601230007596,244.8060158001026,244.85708670003805,space,0.38162040000315756,244.8060158001026,None,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
17,go,8,space,,0,6,6,16,,,,,,,,,,,245.97285230003763,246.9728374000406,247.72250140004326,247.77232770004775,space,0.32440619997214526,247.72250140004326,None,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
27,go,9,space,,0,7,7,26,,,,,,,,,,,248.821191700059,249.82063810003456,250.5727417001035,250.6226060000481,space,0.3130469999741763,250.5727417001035,None,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
11,go,2,space,,0,8,8,10,,,,,,,,,,,251.65402200003155,252.65289810008835,253.40187620010693,253.45410860003904,space,0.2921435000607744,253.40187620010693,None,,,,,,,,,,,8. participant,001,2021_Dec_01_1443,Experiment_Alli,2021.1.4,59.939030042832414,
