trial,condition,number,response,mask,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,35.07171980000567,None,space,33.205613299971446,35.07171980000567,None,,,,,,,,,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
22,go,4,space,,0,0,0,21,,,,,,,,,,,69.1415938999271,70.14153789996635,70.89178629999515,70.95851080003195,space,0.38120790000539273,70.89178629999515,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
10,go,1,space,,0,1,1,9,,,,,,,,,,,72.04626420000568,73.05692819994874,73.79261639993638,73.84087980003096,space,0.36787810001987964,73.79261639993638,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
30,no-go,3,None,,0,2,2,29,,,,,,,,,,,74.94076629995834,75.93948059994727,76.69531650003046,76.75297959998716,space,0.29887639998923987,76.69531650003046,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
16,go,7,space,,0,3,3,15,,,,,,,,,,,77.77203839994036,78.7713184999302,79.52137500001118,79.57258999999613,space,0.34719439991749823,79.52137500001118,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
15,go,6,space,,0,4,4,14,,,,,,,,,,,80.65474479994737,81.67111070000101,82.40667940001003,82.45474660000764,space,0.31645319995004684,82.40667940001003,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
29,go,2,space,,0,5,5,28,,,,,,,,,,,83.50676469993778,84.51899230002891,85.26914859993849,85.31950350000989,space,0.30781070003286004,85.26914859993849,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
26,go,8,space,,0,6,6,25,,,,,,,,,,,86.36830580001697,87.36837309994735,88.11710219993256,88.16840309998952,space,0.3341208000201732,88.11710219993256,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
34,go,7,space,,0,7,7,33,,,,,,,,,,,89.21687909995671,90.2189337000018,90.96895759995095,91.01704059995245,space,0.3361097000306472,90.96895759995095,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
28,go,1,space,,0,8,8,27,,,,,,,,,,,92.08233829995152,93.08193819993176,93.83439879992511,93.882800100022,space,0.32438990008085966,93.83439879992511,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
31,go,4,space,,0,9,9,30,,,,,,,,,,,94.93356399994809,95.94752039993182,96.68010689993389,96.73246570001356,space,0.3182356000179425,96.68010689993389,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
33,go,6,space,,0,10,10,32,,,,,,,,,,,97.7644420999568,98.77950249996502,99.51235839992296,99.5647046000231,space,0.4155884000938386,99.51235839992296,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
11,go,2,space,,0,11,11,10,,,,,,,,,,,100.69531530002132,101.69499640003778,102.4448904999299,102.49628299998585,space,0.2963999999919906,102.4448904999299,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
21,no-go,3,None,,0,12,12,20,,,,,,,,,,,103.49974270001985,104.51026340003591,105.26088880002499,105.31309990002774,None,,105.26088880002499,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
2,go,2,space,,0,13,13,1,,,,,,,,,,,108.00909179996233,109.00875629996881,109.75820039992686,109.80950309999753,space,0.31904169998597354,109.75820039992686,107.26559690001886,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
7,go,7,space,,0,14,14,6,,,,,,,,,,,110.84404919994995,111.85783400002401,112.59153320000041,112.66352269996423,space,0.36923199996817857,112.59153320000041,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
6,go,6,space,,0,15,15,5,,,,,,,,,,,113.74221599998418,114.75745819997974,115.49111589998938,115.54021270002704,space,0.29900360002648085,115.49111589998938,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
12,no-go,3,None,,0,16,16,11,,,,,,,,,,,116.55591829994228,117.55563499999698,118.30662289995234,118.35664859996177,None,,118.30662289995234,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
35,go,8,space,,0,17,17,34,,,,,,,,,,,121.07082509994507,122.07161300000735,122.82134559995029,122.87184349994641,space,0.4344470000360161,122.82134559995029,120.33177529997192,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
17,go,8,space,,0,18,18,16,,,,,,,,,,,124.03655399999116,125.03649630001746,125.78790869994555,125.83753269992303,space,0.29704930004663765,125.78790869994555,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
5,go,5,space,,0,19,19,4,,,,,,,,,,,126.86938689998351,127.86822479998227,128.61798759992234,128.66977020003833,space,0.3318991999840364,128.61798759992234,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
8,go,8,space,,0,20,20,7,,,,,,,,,,,129.71783059998415,130.7222784999758,131.46769810002297,131.51896319992375,space,0.32020550000015646,131.46769810002297,None,,,,,,,,,,,7. participant,001,2021_Dec_01_1434,Experiment_Alli,2021.1.4,62.735375331255895,
