trial,condition,number,response,mask,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,35.823884499957785,None,space,29.905685000005178,35.823884499957785,None,,,,,,,,,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
29,go,2,space,,0,0,0,28,,,,,,,,,,,66.592760099913,67.59065299993381,68.34938099991996,68.42964599991683,space,0.483607399975881,68.34938099991996,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
5,go,5,space,,0,1,1,4,,,,,,,,,,,69.62375999998767,70.63954849995207,71.37324009998702,71.42368369991891,space,0.3348426000447944,71.37324009998702,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
16,go,7,space,,0,2,2,15,,,,,,,,,,,72.49035069998354,73.50753109995276,74.2401186999632,74.28819479991216,space,0.28756430000066757,74.2401186999632,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
22,go,4,space,,0,3,3,21,,,,,,,,,,,75.30607869999949,76.32062219991349,77.05358179996256,77.10631909989752,space,0.2738887999439612,77.05358179996256,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
24,go,6,space,,0,4,4,23,,,,,,,,,,,78.15242079994641,79.15208959998563,79.90197639993858,79.95308609993663,space,0.29379420005716383,79.90197639993858,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
7,go,7,space,,0,5,5,6,,,,,,,,,,,80.97087409999222,81.99138719995972,82.71731290000025,82.76823409995995,space,0.3678440999938175,82.71731290000025,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
2,go,2,space,,0,6,6,1,,,,,,,,,,,83.85018239996862,84.85066039999947,85.60098099999595,85.65166789991781,space,0.4810858001001179,85.60098099999595,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
30,no-go,3,None,,0,7,7,29,,,,,,,,,,,86.86531709996052,87.86592909996398,88.61465759994462,88.66577149997465,None,,88.61465759994462,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
25,go,7,space,,0,8,8,24,,,,,,,,,,,91.38057519996073,92.38093739992473,93.12969779991545,93.18179539998528,space,0.3177211000584066,93.12969779991545,90.63548499997705,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
35,go,8,space,,0,9,9,34,,,,,,,,,,,94.23420569999143,95.2470473999856,95.97856259997934,96.03061709995382,space,0.3418568999040872,95.97856259997934,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
3,no-go,3,None,,0,10,10,2,,,,,,,,,,,97.09461449994706,98.09426279994659,98.84601320000365,98.89598809997551,None,,98.84601320000365,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
10,go,1,space,,0,11,11,9,,,,,,,,,,,101.60952269996051,102.61021219997201,103.3615267999703,103.4109657999361,space,0.3661619999911636,103.3615267999703,100.86672649998218,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
8,go,8,space,,0,12,12,7,,,,,,,,,,,104.4984576998977,105.50832649995573,106.26029129989911,106.31046429998241,space,0.4817302000010386,106.26029129989911,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
34,go,7,space,,0,13,13,33,,,,,,,,,,,107.50826869998127,108.5114017999731,109.25994609994814,109.30831009999383,space,0.33501189993694425,109.25994609994814,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
18,go,9,space,,0,14,14,17,,,,,,,,,,,110.39011259994004,111.38921689998824,112.1398029999109,112.18960399995558,space,0.4996207000222057,112.1398029999109,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
12,no-go,3,None,,0,15,15,11,,,,,,,,,,,113.40584499994293,114.40507679991424,115.15512409992516,115.20640369993635,None,,115.15512409992516,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
21,no-go,3,None,,0,16,16,20,,,,,,,,,,,117.92464529990684,118.93651769997086,119.66965899989009,119.7207255999092,None,,119.66965899989009,117.17616109992377,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
19,go,1,space,,0,17,17,18,,,,,,,,,,,122.43918129999656,123.45199429988861,124.18385489995126,124.2365583999781,space,0.553391500026919,124.18385489995126,121.69134339992888,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
20,go,2,space,,0,18,18,19,,,,,,,,,,,125.51797249994706,126.51680809992831,127.26603489997797,127.31847559998278,space,0.49119290011003613,127.26603489997797,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
28,go,1,space,,0,19,19,27,,,,,,,,,,,128.5382849999005,129.54915429989342,130.2831813999219,130.33291799994186,space,0.5919755999930203,130.2831813999219,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
27,go,9,space,,0,20,20,26,,,,,,,,,,,131.64512439991813,132.64838879997842,133.3972542999545,133.4488039999269,space,0.43876449996605515,133.3972542999545,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
14,go,5,space,,0,21,21,13,,,,,,,,,,,134.6136886999011,135.61257469991688,136.36236109992024,136.41413969988935,space,0.3509032999863848,136.36236109992024,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
32,go,5,space,,0,22,22,31,,,,,,,,,,,137.4825467999326,138.4950349999126,139.23428009997588,139.2960022999905,space,0.30451299995183945,139.23428009997588,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
4,go,4,space,,0,23,23,3,,,,,,,,,,,140.31051559990738,141.31082459993195,142.06017819989938,142.1124061999144,space,0.311071400064975,142.06017819989938,None,,,,,,,,,,,10. participant,001,2021_Dec_01_1512,Experiment_Alli,2021.1.4,59.74308084622257,
