trial,condition,number,response,mask,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,33.29908999998588,None,space,26.369955500005744,33.29908999998588,None,,,,,,,,,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
12,no-go,3,None,,0,0,0,11,,,,,,,,,,,60.51026599993929,61.52450800000224,62.25851750001311,62.30918699991889,None,62.25851750001311,None,,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
11,go,2,space,,0,1,1,10,,,,,,,,,,,64.97308709996287,65.97295750002377,66.72355330002028,66.77440629992634,space,66.72355330002028,None,0.5753311000298709,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
23,go,5,space,,0,2,2,22,,,,,,,,,,,68.08870089997072,69.08968149998691,69.83945269999094,69.8904373999685,space,69.83945269999094,None,0.35849899996537715,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
34,go,7,space,,0,3,3,33,,,,,,,,,,,70.97205769992433,71.97196919994894,72.72236829996109,72.77343169995584,space,72.72236829996109,None,0.32524249993730336,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
6,go,6,space,,0,4,4,5,,,,,,,,,,,73.83704769995529,74.83943359996192,75.58970130002126,75.63873589993455,space,75.58970130002126,None,0.3319693000521511,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
25,go,7,space,,0,5,5,24,,,,,,,,,,,76.70373990002554,77.71860939997714,78.45173450000584,78.50322249997407,space,78.45173450000584,None,0.3185807999689132,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
3,no-go,3,None,,0,6,6,2,,,,,,,,,,,79.53826810000464,80.54985309997573,81.28435229999013,81.34966159996111,space,81.28435229999013,None,0.3191683000186458,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
30,no-go,3,None,,0,7,7,29,,,,,,,,,,,82.3839200999355,83.39930519997142,84.13339380000252,84.18132859992329,None,84.13339380000252,None,,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
28,go,1,space,,0,8,8,27,,,,,,,,,,,86.89796059997752,87.91377250000369,88.64623660000507,88.69633950002026,space,88.64623660000507,86.1608948999783,0.44856749998871237,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
16,go,7,space,,0,9,9,15,,,,,,,,,,,89.86236389994156,90.86263109999709,91.61194229999091,91.66209320002235,space,91.61194229999091,None,0.38709030009340495,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
14,go,5,space,,0,10,10,13,,,,,,,,,,,92.77909189998172,93.79388729995117,94.52670249994844,94.57800500001758,space,94.52670249994844,None,0.40642370004206896,,,,,,,,,,,4. participant,001,2021_Dec_01_1418,Experiment_Alli,2021.1.4,60.689223209784,
