trial,condition,number,response,mask,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,78.6337094999617,None,space,44.33309719990939,78.6337094999617,None,,,,,,,,,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
36,go,9,space,,0,0,0,35,,,,,,,,,,,123.87903730000835,124.87682420003694,125.62744620000012,125.67737579997629,space,0.4420090999919921,125.62744620000012,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
12,no-go,3,None,,0,1,1,11,,,,,,,,,,,126.8609416000545,127.85902930004522,128.61098360002507,128.65992720006034,space,0.27779119997285306,128.61098360002507,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
10,go,1,space,,0,2,2,9,,,,,,,,,,,129.6593686999986,130.65815470006783,131.4083588999929,131.4605466000503,space,0.3351947000483051,131.4083588999929,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
5,go,5,space,,0,3,3,4,,,,,,,,,,,132.52568810002413,133.52379260002635,134.27459050004836,134.32501060003415,space,0.29814229998737574,134.27459050004836,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
3,no-go,3,None,,0,4,4,2,,,,,,,,,,,135.33951029996388,136.33897509996314,137.09059530007653,137.14076620002743,space,0.2709264000877738,137.09059530007653,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
26,go,8,space,,0,5,5,25,,,,,,,,,,,138.1567768000532,139.17184199998155,139.9049217000138,139.9556525000371,space,0.3374353999970481,139.9049217000138,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
22,go,4,space,,0,6,6,21,,,,,,,,,,,141.02045589999761,142.0371213000035,142.7858729000436,142.85215070005506,space,0.3591887999791652,142.7858729000436,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
18,go,9,space,,0,7,7,17,,,,,,,,,,,143.9032265000278,144.90319330000784,145.65400590002537,145.7038608000148,space,0.42032799997832626,145.65400590002537,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
19,go,1,space,,0,8,8,18,,,,,,,,,,,146.83671559998766,147.83470560004935,148.60050359996967,148.6524897000054,space,0.40843999991193414,148.60050359996967,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
30,no-go,3,None,,0,9,9,29,,,,,,,,,,,149.78375850000884,150.78295799996704,151.5339325000532,151.58448510000017,None,,151.5339325000532,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
17,go,8,space,,0,10,10,16,,,,,,,,,,,154.29975470004138,155.298499800032,156.0485072999727,156.09838790004142,space,0.3821584000252187,156.0485072999727,153.55375950003508,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
14,go,5,space,,0,11,11,13,,,,,,,,,,,157.1961054999847,158.19709580007475,158.94497219996992,158.99390360002872,space,0.3796582999639213,158.94497219996992,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
32,go,5,space,,0,12,12,31,,,,,,,,,,,160.09773809998296,161.11464130005334,161.8451730000088,161.8954029000597,space,0.5492088000755757,161.8451730000088,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
16,go,7,space,,0,13,13,15,,,,,,,,,,,163.16152480000164,164.16030850005336,164.91144100006204,164.96199149999302,space,0.371746200020425,164.91144100006204,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
11,go,2,space,,0,14,14,10,,,,,,,,,,,166.07724410004448,167.07651970000006,167.82629180001095,167.87782549997792,space,0.45148749998770654,167.82629180001095,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
25,go,7,space,,0,15,15,24,,,,,,,,,,,169.05914040002972,170.05836620007176,170.80917040002532,170.86013629997615,space,0.3778547999681905,170.80917040002532,None,,,,,,,,,,,2. participant,001,2021_Dec_01_1405,Experiment_Alli,2021.1.4,60.53763475461207,
