trial,condition,number,response,mask,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,55.59418580005877,None,space,24.91842020000331,55.59418580005877,None,,,,,,,,,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
12,no-go,3,None,,0,0,0,11,,,,,,,,,,,81.32211119995918,82.32051360001788,83.07202660001349,83.1205445000669,None,83.07202660001349,None,,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
7,go,7,space,,0,1,1,6,,,,,,,,,,,85.8031918000197,86.80333630007226,87.55384050006978,87.60413360001985,space,87.55384050006978,None,0.43139390007127076,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
28,go,1,space,,0,2,2,27,,,,,,,,,,,88.7565357000567,89.76848400000017,90.50372450007126,90.55449310003314,space,90.50372450007126,None,0.3501408000010997,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
13,go,4,space,,0,3,3,12,,,,,,,,,,,91.62145510001574,92.6199171000626,93.37085659999866,93.43608570005745,space,93.37085659999866,None,0.36358940007630736,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
32,go,5,space,,0,4,4,31,,,,,,,,,,,94.50141510006506,95.49935890000779,96.25513760000467,96.31292940001003,space,96.25513760000467,None,0.3741553999716416,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
24,go,6,space,,0,5,5,23,,,,,,,,,,,97.42225950001739,98.42108110000845,99.17189930006862,99.22424899996258,space,99.17189930006862,None,0.381593200028874,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
6,go,6,space,,0,6,6,5,,,,,,,,,,,100.3361551000271,101.34982170001604,102.08869340003002,102.13449690002017,space,102.08869340003002,None,0.3691112999804318,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
9,go,9,space,,0,7,7,8,,,,,,,,,,,103.23574889998417,104.23159019998275,104.98364049999509,105.04928609996568,space,104.98364049999509,None,0.3240344999358058,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
15,go,6,space,,0,8,8,14,,,,,,,,,,,106.08409010001924,107.08468049997464,107.83467320003547,107.87867570004892,space,107.83467320003547,None,0.34201630007009953,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
27,go,9,space,,0,9,9,26,,,,,,,,,,,108.95096549997106,109.960975300055,110.69985189998988,110.75899010000285,space,110.69985189998988,None,0.40161559998523444,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
14,go,5,space,,0,10,10,13,,,,,,,,,,,111.88197129999753,112.89521570003126,113.6353048000019,113.6964702999685,space,113.6353048000019,None,0.3410287000006065,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
3,no-go,3,None,,0,11,11,2,,,,,,,,,,,114.76862980006263,115.77797349996399,116.51450829999521,116.57609830005094,space,116.51450829999521,None,0.31296119990292937,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
36,go,9,space,,0,12,12,35,,,,,,,,,,,117.60197169997264,118.61090730002616,119.36509430001024,119.4428220000118,space,119.36509430001024,None,0.4002883000066504,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
19,go,1,space,,0,13,13,18,,,,,,,,,,,120.56268279999495,121.5747820000397,122.31319330004044,122.37629170005675,space,122.31319330004044,None,0.37259090004954487,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
8,go,8,space,,0,14,14,7,,,,,,,,,,,123.47838179999962,124.4905376000097,125.23042380006518,125.28548349998891,space,125.23042380006518,None,0.29002730001229793,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
31,go,4,space,,0,15,15,30,,,,,,,,,,,126.29290540004149,127.30573839996941,128.0566660000477,128.10639570001513,space,128.0566660000477,None,0.38855999999213964,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
26,go,8,space,,0,16,16,25,,,,,,,,,,,129.22315259999596,130.23372600006405,130.97678999998607,131.03751329996157,space,130.97678999998607,None,0.3683067000238225,,,,,,,,,,,1. participant,001,2021_Nov_30_1749,Experiment_Alli,2021.1.4,61.204829273649985,
